Title,PositiveReview,NegativeReview,Score,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,CharacterLenTitle,CharacterLenPropertyResponse,CharacterLenPositive,CharacterLenNegative,Score2,PropertyResponseYesOrNo,CLT_bins,CLP_bins,CLN_bins
Exceptional,,,10.0,Cyprus,Double Room with Balcony,2,2021-08-01,Group,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Cyprus,Double Room,1,2021-08-01,Couple,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Ireland,Double Room with Balcony,1,2021-08-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Lebanon,Family Suite with Balcony,1,2021-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Austria,Family Suite with Balcony,2,2021-08-01,Group,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Ireland,Double Room with Balcony,1,2021-08-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Ukraine,Two-Bedroom Suite,1,2021-08-01,Group,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Bahrain,Double Room with Balcony,4,2021-08-01,Couple,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Saudi Arabia,Family Suite with Balcony,4,2021-08-01,Family,,9,0,0,0,9.0,Yes,1,1,1
Wonderful,,,9.0,Czech Republic,Family Suite with Balcony,1,2021-08-01,Group,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Romania,Double Room with Balcony,1,2021-08-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Switzerland,Double Room with Balcony,1,2021-08-01,Group,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United Kingdom,Double Room with Balcony,1,2021-08-01,Solo,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Serbia,Double Room with Balcony,1,2021-07-01,Group,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,United Arab Emirates,Double Room with Balcony,1,2021-07-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Cyprus,Standard Triple Room,1,2021-07-01,Group,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Jordan,Double Room with Balcony,1,2021-07-01,Solo,,11,0,0,0,10.0,No,2,1,1
We stayed at this hotel for 1 night before travelling on to protaras. the owners were lovely couldn’t be more helpful ev,,,8.0,United Kingdom,Family Suite with Balcony,1,2021-07-01,Family,thank you very much for your nice comment; we are always available to serve our guests.,120,87,0,0,8.0,No,5,1,1
Wonderful,,,9.0,Latvia,Double Room with Balcony,1,2021-06-01,Solo,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Greece,Double Room with Balcony,1,2021-06-01,Couple,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Greece,Family Suite with Balcony,1,2021-07-01,Family,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,United Kingdom,Double Room with Balcony,1,2021-07-01,Solo,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Latvia,Double Room with Balcony,1,2021-07-01,Solo,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,3,2021-07-01,Solo,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,United Kingdom,Double Room with Balcony,1,2021-07-01,Solo,,9,0,0,0,8.0,No,1,1,1
"Amazing staff, amazing hotel",,,10.0,Ireland,Double Room with Balcony,1,2021-07-01,Family,"thank you guys, we are happy you enjoyed your stay at our hotel! Hope to see u again",28,84,0,0,10.0,No,3,1,1
Exceptional,,,10.0,United Kingdom,Double Room with Balcony,1,2021-06-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Greece,Standard Triple Room,3,2021-06-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Poland,Double Room with Balcony,1,2021-06-01,Solo,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,United Kingdom,Double Room with Balcony,1,2021-06-01,Couple,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Russia,Double Room with Balcony,1,2021-06-01,Solo,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Israel,Double Room with Balcony,1,2021-06-01,Solo,,11,0,0,0,10.0,No,2,1,1
Good,,,7.0,Cyprus,Double Room with Balcony,1,2022-10-01,Couple,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,Cyprus,Double Room with Balcony,1,2022-11-01,Solo,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,Norway,Two-Bedroom Suite,1,2022-11-01,Solo,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,Lebanon,Budget Twin Room,1,2022-12-01,Couple,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,United Kingdom,Two-Bedroom Suite,1,2022-09-01,Group,,4,0,0,0,7.0,No,1,1,1
Bad,,,1.0,United Kingdom,Double Room,1,2022-12-01,Couple,,3,0,0,0,1.0,No,1,1,1
Good,,,7.0,Czech Republic,Budget Twin Room,1,2022-10-01,Couple,,4,0,0,0,7.0,No,1,1,1
Very poor,,,2.0,United Kingdom,Double Room,1,2022-11-01,Solo,,9,0,0,0,2.0,No,1,1,1
Good,,,7.0,Israel,Double Room,1,2022-09-01,Family,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,United States of America,Double Room with Balcony,2,2022-11-01,Couple,,4,0,0,0,7.0,No,1,1,1
Pleasant,,,6.0,Hungary,Two-Bedroom Suite,1,2022-11-01,Family,,8,0,0,0,6.0,No,1,1,1
Good,,,7.0,Cyprus,Budget Twin Room,1,2022-10-01,Group,,4,0,0,0,7.0,No,1,1,1
Fair,,,5.0,United Kingdom,Double Room with Balcony,3,2022-11-01,Couple,,4,0,0,0,5.0,No,1,1,1
Fair,,,5.0,Denmark,Two-Bedroom Suite,1,2022-10-01,Family,,4,0,0,0,5.0,No,1,1,1
Good,,,7.0,United Kingdom,Double Room with Balcony,1,2022-10-01,Solo,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,Portugal,Double Room with Balcony,3,2022-10-01,Solo,,4,0,0,0,7.0,No,1,1,1
Disappointing,,,4.0,Israel,Suite with Balcony,1,2022-10-01,Group,,13,0,0,0,4.0,No,2,1,1
Good,,,7.0,United Kingdom,Double Room with Balcony,1,2022-10-01,Couple,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,Czech Republic,Budget Twin Room,1,2022-10-01,Solo,,4,0,0,0,7.0,No,1,1,1
Pleasant,,,6.0,Cyprus,Double Room with Balcony,1,2022-09-01,Family,,8,0,0,0,6.0,No,1,1,1
Good,,,7.0,United Kingdom,Two-Bedroom Suite,1,2022-10-01,Family,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,Australia,Double Room with Balcony,1,2022-09-01,Solo,,4,0,0,0,7.0,No,1,1,1
Very poor,,,2.0,Saudi Arabia,Double Room with Balcony,1,2022-07-01,Solo,,9,0,0,0,2.0,No,1,1,1
Good,,,7.0,Cyprus,Double Room with Balcony,1,2022-08-01,Couple,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,United Kingdom,Two-Bedroom Suite,1,2022-07-01,Group,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,Estonia,Family Suite with Balcony,1,2022-07-01,Group,,4,0,0,0,7.0,No,1,1,1
Very close to the airport. clean facilities and very friendly staff. i had no issues!,,,7.0,Nigeria,Double Room,1,2022-07-01,Solo,,85,0,0,0,7.0,No,5,1,1
Good,,,7.0,Romania,Double Room with Balcony,1,2022-05-01,Couple,,4,0,0,0,7.0,No,1,1,1
Disappointing,,,4.0,Israel,Double Room with Balcony,1,2022-05-01,Solo,,13,0,0,0,4.0,No,2,1,1
Good,,,7.0,Cyprus,Family Suite with Balcony,1,2022-05-01,Couple,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,Cyprus,Double Room,1,2022-04-01,Couple,,4,0,0,0,7.0,No,1,1,1
Pleasant,,,6.0,United Kingdom,Double Room with Balcony,1,2022-02-01,Solo,,8,0,0,0,6.0,No,1,1,1
Good,,,7.0,Malta,Family Suite with Balcony,1,2022-01-01,Family,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,United Kingdom,Double Room with Balcony,1,2021-11-01,Family,,4,0,0,0,7.0,No,1,1,1
Pleasant,,,6.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Solo,,8,0,0,0,6.0,No,1,1,1
Pleasant,,,6.0,Cyprus,Two-Bedroom Suite,1,2021-08-01,Solo,,8,0,0,0,6.0,No,1,1,1
Good,,,7.0,United Kingdom,Double Room with Balcony,1,2021-08-01,Family,,4,0,0,0,7.0,No,1,1,1
Good,,,7.0,Russia,Two-Bedroom Suite,1,2021-08-01,Family,,4,0,0,0,7.0,No,1,1,1
Fair,,,5.0,Ukraine,Double Room with Balcony,1,2021-07-01,Solo,,4,0,0,0,5.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Unknown,2,2022-11-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United Kingdom,Unknown,1,2022-08-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,United Kingdom,Unknown,1,2022-10-01,Couple,,9,0,0,0,9.0,No,1,1,1
"Modern finishes, clean, central location and friendly service.",,,10.0,South Africa,Unknown,1,2022-08-01,Family,,62,0,0,0,10.0,No,5,1,1
Very good,,,8.0,Jordan,Unknown,4,2022-07-01,Family,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Denmark,Unknown,1,2022-07-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Cyprus,Unknown,2,2022-01-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Cyprus,Unknown,3,2021-10-01,Couple,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,United Kingdom,Unknown,1,2021-10-01,Couple,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Cyprus,Unknown,1,2021-09-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Unknown,1,2021-09-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Romania,Unknown,1,2021-09-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United Kingdom,Unknown,1,2021-08-01,Solo,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Serbia,Unknown,7,2021-08-01,Couple,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Ukraine,Unknown,4,2021-07-01,Couple,,9,0,0,0,9.0,No,1,1,1
Pleasant,,,6.0,United Kingdom,Unknown,7,2022-07-01,Couple,,8,0,0,0,6.0,No,1,1,1
Disappointing,,,4.0,United States of America,Unknown,1,2021-11-01,Group,,13,0,0,0,4.0,No,2,1,1
Very good,,,8.0,France,Two-Bedroom Suite,1,2022-11-01,Family,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Cyprus,Double Room,1,2022-12-01,Couple,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Germany,Double Room with Balcony,3,2022-12-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Greece,Double Room with Balcony,4,2022-11-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Lithuania,Budget Twin Room,1,2022-12-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Romania,Standard Triple Room,1,2022-12-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Serbia,Double Room with Balcony,3,2022-12-01,Family,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Greece,Double Room,1,2022-12-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Lithuania,Double Room,1,2022-11-01,Solo,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Greece,Double Room,1,2022-11-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Bulgaria,Double Room with Balcony,3,2022-12-01,Solo,,11,0,0,0,10.0,No,2,1,1
"Fantastic time spent, highly recommend",,,9.0,Poland,Double Room,4,2022-12-01,Solo,,38,0,0,0,9.0,No,4,1,1
Exceptional,,,10.0,Serbia,Double Room with Balcony,1,2022-12-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Lithuania,Double Room,4,2022-12-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,France,Double Room with Balcony,7,2022-11-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Cyprus,Double Room with Balcony,3,2022-12-01,Family,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Greece,Double Room with Balcony,7,2022-11-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Cyprus,Double Room with Balcony,1,2022-11-01,Couple,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Germany,Double Room with Balcony,1,2022-11-01,Family,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Ukraine,Double Room,1,2022-11-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Israel,Double Room,1,2022-11-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Austria,Standard Triple Room,1,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,France,Double Room,1,2022-11-01,Solo,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,France,Double Room,1,2022-11-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Czech Republic,Double Room,1,2022-11-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Ukraine,Standard Triple Room,1,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Ukraine,Double Room with Balcony,4,2022-11-01,Solo,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Greece,Double Room with Balcony,2,2022-11-01,Solo,,9,0,0,0,8.0,No,1,1,1
Very pleasant 9 days!,,,9.0,Germany,Double Room with Balcony,4,2022-11-01,Solo,,21,0,0,0,9.0,No,3,1,1
Very good,,,8.0,Germany,Double Room with Balcony,1,2022-11-01,Solo,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Netherlands,Double Room with Balcony,1,2022-10-01,Solo,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Belgium,Double Room,1,2022-11-01,Family,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Slovakia,Double Room with Balcony,7,2022-11-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Israel,Double Room with Balcony,1,2022-11-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Greece,Double Room,1,2022-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Belgium,Budget Twin Room,1,2022-09-01,Group,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Ukraine,Double Room,1,2022-11-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Hungary,Double Room with Balcony,2,2022-09-01,Group,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Brazil,Double Room with Balcony,1,2022-11-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Romania,Double Room with Balcony,8,2022-10-01,Group,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,1,2022-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Ukraine,Double Room with Balcony,1,2022-11-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Israel,Standard Triple Room,1,2022-11-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Ukraine,Double Room,1,2022-11-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,China,Double Room with Balcony,1,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,France,Double Room,1,2022-10-01,Family,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Spain,Double Room,1,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Germany,Budget Twin Room,2,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Israel,Suite with Balcony,1,2022-10-01,Group,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,France,Two-Bedroom Suite,1,2022-10-01,Family,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Israel,Double Room with Balcony,1,2022-10-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Israel,Double Room,1,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Germany,Double Room with Balcony,2,2022-10-01,Couple,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,France,Double Room with Balcony,1,2022-09-01,Solo,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Switzerland,Two-Bedroom Suite,1,2022-10-01,Family,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Israel,Two-Bedroom Suite,1,2022-10-01,Group,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Israel,Double Room,1,2022-10-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Belgium,Double Room with Balcony,1,2022-10-01,Group,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Greece,Double Room,1,2022-10-01,Solo,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Israel,Standard Triple Room,1,2022-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Israel,Two-Bedroom Suite,1,2022-10-01,Family,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Spain,Double Room with Balcony,1,2022-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Hungary,Standard Triple Room,4,2022-10-01,Couple,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Israel,Suite with Balcony,1,2022-10-01,Family,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Bulgaria,Double Room with Balcony,2,2022-09-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Croatia,Double Room,1,2022-10-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Norway,Two-Bedroom Suite,1,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Poland,Double Room,1,2022-10-01,Family,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Israel,Two-Bedroom Suite,1,2022-10-01,Family,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Czech Republic,Budget Twin Room,1,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Poland,Budget Twin Room,1,2022-10-01,Solo,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Israel,Two-Bedroom Suite,1,2022-10-01,Family,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Israel,Standard Triple Room,1,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Ukraine,Two-Bedroom Suite,1,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Italy,Double Room with Balcony,2,2022-10-01,Family,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,France,Double Room,1,2022-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Israel,Double Room with Balcony,1,2022-10-01,Group,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,France,Suite with Balcony,2,2022-10-01,Group,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Sweden,Double Room with Balcony,1,2022-09-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Israel,Double Room,1,2022-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Israel,Standard Triple Room,3,2022-10-01,Group,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Denmark,Double Room with Balcony,1,2022-10-01,Couple,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Austria,Double Room with Balcony,1,2022-10-01,Family,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Czech Republic,Double Room,1,2022-10-01,Family,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Israel,Budget Twin Room,1,2022-10-01,Solo,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Italy,Double Room with Balcony,2,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United States of America,Double Room with Balcony,1,2022-09-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Cyprus,Double Room,1,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Germany,Double Room with Balcony,7,2022-10-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Czech Republic,Double Room with Balcony,2,2022-09-01,Group,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Israel,Budget Twin Room,1,2022-09-01,Family,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Austria,Double Room with Balcony,1,2022-09-01,Family,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Portugal,Two-Bedroom Suite,1,2022-09-01,Family,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Greece,Two-Bedroom Suite,1,2022-09-01,Group,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Greece,Double Room with Balcony,1,2022-09-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Greece,Double Room,1,2022-09-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Germany,Double Room with Balcony,1,2022-09-01,Group,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Israel,Two-Bedroom Suite,1,2022-09-01,Group,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Israel,Two-Bedroom Suite,1,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Bulgaria,Two-Bedroom Suite,2,2022-09-01,Group,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Israel,Two-Bedroom Suite,1,2022-09-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,France,Budget Twin Room,1,2022-09-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,France,Double Room with Balcony,1,2022-09-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Italy,Double Room with Balcony,1,2022-09-01,Solo,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Austria,Budget Twin Room,1,2022-09-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,France,Suite with Balcony,1,2022-08-01,Family,,11,0,0,0,10.0,Yes,2,1,1
Wonderful,,,9.0,Italy,Double Room,1,2022-09-01,Couple,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Switzerland,Double Room with Balcony,1,2022-09-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Israel,Double Room with Balcony,7,2022-09-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Greece,Double Room with Balcony,1,2022-09-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Austria,Standard Triple Room,1,2022-09-01,Couple,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Cyprus,Double Room with Balcony,1,2022-08-01,Couple,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Netherlands,Double Room with Balcony,1,2022-09-01,Solo,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Germany,Double Room with Balcony,1,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Cyprus,Double Room with Balcony,1,2022-08-01,Family,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Netherlands,Double Room with Balcony,1,2022-08-01,Couple,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Russia,Double Room with Balcony,1,2022-08-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Italy,Double Room with Balcony,1,2022-08-01,Group,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Poland,Two-Bedroom Suite,3,2022-08-01,Family,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Israel,Two-Bedroom Suite,1,2022-08-01,Family,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Sweden,Double Room with Balcony,1,2022-08-01,Solo,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Lithuania,Double Room,1,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,China,Double Room,1,2022-07-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Poland,Two-Bedroom Suite,1,2022-08-01,Group,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Russia,Double Room with Balcony,1,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Israel,Two-Bedroom Suite,1,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Poland,Two-Bedroom Suite,1,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Israel,Double Room with Balcony,1,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Israel,Two-Bedroom Suite,1,2022-08-01,Family,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Israel,Two-Bedroom Suite,1,2022-08-01,Family,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Romania,Double Room with Balcony,1,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Finland,Family Suite with Balcony,1,2022-07-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Italy,Double Room,1,2022-08-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Belgium,Two-Bedroom Suite,1,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Switzerland,Double Room,1,2022-08-01,Couple,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Germany,Double Room,1,2022-08-01,Group,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Italy,Double Room with Balcony,1,2022-08-01,Couple,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Greece,Double Room,1,2022-07-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Hungary,Standard Triple Room,1,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Switzerland,Suite with Balcony,1,2022-07-01,Group,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Suite with Balcony,2,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Russia,Two-Bedroom Suite,1,2022-07-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Cyprus,Double Room with Balcony,1,2022-07-01,Solo,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Budget Twin Room,1,2022-07-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,1,2022-07-01,Family,,11,0,0,0,10.0,No,2,1,1
